Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"nameSheet = ""CC-Payments-Auth""",Chrome 101.0.4951.54,,,2022-05-16 11:49:32,2022-05-16 11:49:32,0.000s,PASSED
"numOfRows = findTestData(""QA/Bootstrap/VSP-Payments-TestData/CC-Payments-Auth"").getRowNumbers()",Chrome 101.0.4951.54,,,2022-05-16 11:49:32,2022-05-16 11:49:32,0.041s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 101.0.4951.54,,,2022-05-16 11:49:32,2022-05-16 11:49:32,0.001s,PASSED
"dataFile = ""QA/Bootstrap/VSP-Payments-TestData/CC-Payments-Auth""",Chrome 101.0.4951.54,,,2022-05-16 11:49:32,2022-05-16 11:49:32,0.000s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 101.0.4951.54,,,2022-05-16 11:49:32,2022-05-16 11:52:25,2m - 52.941s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VSP_Payments_TestCases/Debit_TP_AllCF_Generic_Payment_TC,Chrome 101.0.4951.54,,,2022-05-16 11:52:25,2022-05-16 12:14:20,21m - 54.274s,FAILED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.002s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_CreateProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/CreateProfile/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_AddAccount = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddAccount/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_Add_ACH = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddACH/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_Add_CC = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddCreditCard/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.001s,PASSED
"path_App_Plan = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddPaymentPlan/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_DeleteProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfile/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_ModifyProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/ModifyProfile/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_ViewProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/View Profile/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_VSPAuth = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Auth/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_VSPAuthCap = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Authcap/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_Debit = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Debit/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"path_DeleteProfileConfirm = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfileConfirm/""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
executionProfile = getExecutionProfile(),Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
zipV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
tranType = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
last4V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"nameSheet = ""ACH-Payments-Debit""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"numOfRows = findTestData(""QA/Bootstrap/VSP-Payments-TestData/ACH-Payments-Debit"").getRowNumbers()",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.032s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"dataFile = ""QA/Bootstrap/VSP-Payments-TestData/ACH-Payments-Debit""",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 11:52:26,0.000s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 101.0.4951.54,,,2022-05-16 11:52:26,2022-05-16 12:14:20,21m - 53.791s,FAILED
