Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VSP-UI-TestSuite,Chrome 103.0.5060.66,,,2022-07-01 02:34:44,2022-07-01 02:37:13,2m - 29.785s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VSP_UI_TestCases/CreateProfile_UI_Generic_TC,Chrome 103.0.5060.66,Verify the Elements and Static text on Create Profile page.,,2022-07-01 02:34:44,2022-07-01 02:35:22,38.185s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.003s,PASSED
"path_CreateProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/CreateProfile/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.002s,PASSED
"path_AddAccount = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddAccount/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
"path_Add_ACH = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddACH/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.000s,PASSED
"path_Add_CC = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddCreditCard/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
"path_App_Plan = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddPaymentPlan/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
"path_DeleteProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfile/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.002s,PASSED
"path_ModifyProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/ModifyProfile/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
"path_ViewProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/View Profile/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.002s,PASSED
"path_VSPAuth = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Auth/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
"path_VSPAuthCap = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Authcap/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
"path_Debit = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Debit/""",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.010s,PASSED
executionProfile = getExecutionProfile(),Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.003s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.024s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.005s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 103.0.5060.66,,,2022-07-01 02:34:45,2022-07-01 02:34:45,0.001s,PASSED
