Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_CreateProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/CreateProfile/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.001s,PASSED
"path_AddAccount = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddAccount/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_Add_ACH = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddACH/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_Add_CC = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddCreditCard/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_App_Plan = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddPaymentPlan/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.001s,PASSED
"path_DeleteProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfile/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_ModifyProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/ModifyProfile/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_ViewProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/View Profile/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_VSPAuth = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Auth/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.001s,PASSED
"path_VSPAuthCap = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Authcap/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_Debit = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Debit/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"path_DeleteProfileConfirm = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfileConfirm/""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
executionProfile = getExecutionProfile(),Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.001s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.001s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
zipV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.001s,PASSED
cardTypeV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
last4V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"nameSheet = ""CC-Payments-Auth""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"numOfRows = findTestData(""QA/Bootstrap/VSP-Payments-TestData/CC-Payments-Auth"").getRowNumbers()",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.040s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.001s,PASSED
"dataFile = ""QA/Bootstrap/VSP-Payments-TestData/CC-Payments-Auth""",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:52:32,0.000s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 110.0.0.0,,,2023-02-22 18:52:32,2023-02-22 18:54:51,2m - 18.978s,PASSED
,,,,,,,
Test Cases/Admin Suite Bootstrap/VSP_Payments_TestCases/Debit_TP_AllCF_Generic_Payment_TC,Chrome 110.0.0.0,,,2023-02-22 18:54:51,2023-02-22 19:06:23,11m - 31.876s,PASSED
"path_Dashboard = ""Object Repository/AdminSuiteBootstrap_Pages/Dashboard_Bootstrap/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_VT = ""Object Repository/AdminSuiteBootstrap_Pages/VT_Bootstrap/IssueTransactions/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.001s,PASSED
"path_CreateProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/CreateProfile/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_AddAccount = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddAccount/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_Add_ACH = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddACH/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_Add_CC = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddCreditCard/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.001s,PASSED
"path_App_Plan = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/AddPaymentPlan/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_DeleteProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfile/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_ModifyProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/ModifyProfile/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_ViewProfile = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/View Profile/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.001s,PASSED
"path_VSPAuth = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Auth/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_VSPAuthCap = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Authcap/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_Debit = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/VSP_Debit/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"path_DeleteProfileConfirm = ""Object Repository/AdminSuiteBootstrap_Pages/VSP_Bootstrap/DeleteProfileConfirm/""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.001s,PASSED
executionProfile = getExecutionProfile(),Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"out.println(""executionProfile : "" + executionProfile)",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
appName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
appID = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.001s,PASSED
cardNameV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
al1V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
al2V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
zipV = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
tranType = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
last4V = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"nameSheet = ""ACH-Payments-Debit""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"numOfRows = findTestData(""QA/Bootstrap/VSP-Payments-TestData/ACH-Payments-Debit"").getRowNumbers()",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.040s,PASSED
"println(""Number of Records: "" + numOfRows)",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.001s,PASSED
"dataFile = ""QA/Bootstrap/VSP-Payments-TestData/ACH-Payments-Debit""",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 18:54:52,0.000s,PASSED
"for ([row = 1, row <= numOfRows, (row++)])",Chrome 110.0.0.0,,,2023-02-22 18:54:52,2023-02-22 19:06:23,11m - 31.331s,PASSED
